ID	GRAPHEME	FREQUENCY
617	ɾ̤	0.001852
618	dɮ	0.001852
619	n̠d̠	0.001852
620	uˤ	0.001852
621	t̪ˤ	0.001852
622	kpʰ	0.001852
623	ɨ̞	0.001852
624	ɛi	0.001852
625	ao̞	0.001852
626	aɛ	0.001852
627	ɤ̤	0.001852
628	t̪s̪ʲ	0.001852
629	mpʰ	0.001852
630	kǁ͓	0.001852
631	kǃ̠	0.001852
632	v̤	0.001852
633	ae̞	0.001852
634	d̪̰	0.001852
635	ɲ̰	0.001852
636	ɻʲ	0.001852
637	βʷ	0.001852
638	ɟʷ	0.001852
639	ue	0.001852
640	ɽʰ	0.001852
641	ɠɓ	0.001852
642	ʊ̤	0.001852
643	k̰ʷ	0.001852
644	ae	0.001852
645	ɑ̤	0.001852
646	ɡ̰	0.001852
647	ṵ̃	0.001852
648	aɪ	0.001852
649	ʈʼ	0.001852
650	ʰm	0.001852
651	õ̰	0.001852
652	ð̞	0.001852
653	kpʲ	0.001852
654	ps	0.001852
655	ɥ̃	0.001852
656	ɾʷ	0.001852
657	kǀʼ	0.001852
658	ɡǁ	0.001852
659	cçʼ	0.001852
660	β̃	0.001852
661	w̤	0.001852
662	ë	0.001852
663	tˀ	0.001389
664	tsʷʰ	0.001389
665	fʼ	0.001389
666	d̻z̻	0.001389
667	qχʷ	0.001389
668	ɮʲ	0.001389
669	õ̞ː	0.001389
670	ẽ̞ː	0.001389
671	ˀd	0.001389
672	a˞	0.001389
673	ɛ̆	0.001389
674	l̩	0.001389
675	r̩	0.001389
676	tːs	0.001389
677	ɪ̃ː	0.001389
678	ɬʼ	0.001389
679	ɨ˞	0.001389
680	ʰt̠ʃ	0.001389
681	ʌ̃ː	0.001389
682	rˤ	0.001389
683	çʷ	0.001389
684	ɡ̤ʷ	0.001389
685	d̪ð	0.001389
686	e̯	0.001389
687	mʷˠ	0.001389
688	ɡ̟	0.001389
689	ø̞ː	0.001389
690	œ̃	0.001389
691	ʁ̞	0.001389
692	ɨ̆	0.001389
693	ɵ̞̆	0.001389
694	ɔ̆	0.001389
695	cçʷ	0.001389
696	s̪ʷ	0.001389
697	iˤ	0.001389
698	ɬ̪ː	0.001389
699	o̞ˤ	0.001389
700	t̪s̪ʷʰ	0.001389
701	t̪s̪ʷʼ	0.001389
702	z̪ˤ	0.001389
703	s̪ˤ	0.001389
704	d̪ˤ	0.001389
705	t̪s̪ː	0.001389
706	ʕ̝	0.001389
707	z̪ʲ	0.001389
708	t̪ˀ	0.001389
709	cɕʰ	0.001389
710	ɲc	0.001389
711	ɴq	0.001389
712	ŋkʰ	0.001389
713	aɯ	0.001389
714	ɺ̪	0.001389
715	e̞u	0.001389
716	l̪̤	0.001389
717	ŋǃ̠	0.001389
718	ŋ̥ǀ͓ˀ	0.001389
719	kǀ͓ʰ	0.001389
720	ŋǁ͓	0.001389
721	t̪ʷ	0.001389
722	ɳʈ	0.001389
723	xʲ	0.001389
724	e̞o̞	0.001389
725	ɯi	0.001389
726	s̪ʰ	0.001389
727	ɡǃx	0.001389
728	ɡǂ	0.001389
729	kǃx	0.001389
730	ŋ̥ǃ	0.001389
731	ɡ̤ǃ	0.001389
732	æi	0.001389
733	n̪d̪z̪	0.001389
734	ɟ̰	0.001389
735	r̪ʲ	0.001389
736	*R̪̰	0.001389
737	iˠ	0.001389
738	nsʷ	0.001389
739	ntʷ	0.001389
740	˦↓˦	0.001389
741	ndʑ	0.001389
742	ʄ̥	0.001389
743	ɻʷ	0.001389
744	kʰʷ	0.001389
745	ö	0.001389
746	tʲʼ	0.001389
747	iaː	0.001389
748	ʕʷ	0.001389
749	lʼ	0.001389
750	ŋɣ	0.001389
751	nɡ	0.001389
752	cʲ	0.001389
753	ɟʲ	0.001389
754	ja	0.001389
755	q̰ʷ	0.001389
756	oe	0.001389
757	s̺	0.001389
758	c̰	0.001389
759	˧˦˧	0.001389
760	o̝	0.001389
761	bz	0.001389
762	eo	0.001389
763	ɯ̰	0.001389
764	ə̰	0.001389
765	tç	0.001389
766	t̺	0.001389
767	ɡbʲ	0.001389
768	ɡᶣ	0.001389
769	ɖr	0.001389
770	ʈr	0.001389
771	kxʼ	0.001389
772	ɟ̤	0.001389
773	ɵː	0.001389
774	ᶑʼ	0.001389
775	cʼː	0.001389
776	nɗ	0.001389
777	kǁʼ	0.001389
778	kǃʼ	0.001389
779	ɗʲ	0.001389
780	i̞	0.001389
781	ɔ̝	0.001389
782	ï	0.001389
783	r̠ʲ	0.001389
784	t̪̰	0.001389
785	üː	0.001389
786	c̤	0.001389
787	d̤z	0.001389
788	ʰɾ	0.001389
789	ḛ̃	0.001389
790	ø̞ˤ	0.000926
791	t͈	0.000926
792	p͈	0.000926
793	k͈	0.000926
794	æˤ	0.000926
795	t̻s̻ʼ	0.000926
796	qχʷʼ	0.000926
797	qχʼ	0.000926
798	β̞ː	0.000926
799	ˀr	0.000926
800	ˀŋ	0.000926
801	˩̰	0.000926
802	˨˩	0.000926
803	˧˥	0.000926
804	˧˨˥	0.000926
805	b̤̥	0.000926
806	tz̤̥	0.000926
807	˥˧˥	0.000926
808	ɡ̤̥	0.000926
809	d̤̥	0.000926
810	z̞̩	0.000926
811	k̟ʰ	0.000926
812	˥̰	0.000926
813	ɾˀ	0.000926
814	ĕ	0.000926
815	ŋ̥ʲ	0.000926
816	ʂ͇	0.000926
817	ɲ̩	0.000926
818	ɡɣ	0.000926
819	ʎ̟	0.000926
820	ɸʷ	0.000926
821	ɬː	0.000926
822	s̻ː	0.000926
823	dl	0.000926
824	ʃ͈ː	0.000926
825	k͈ː	0.000926
826	s͈ː	0.000926
827	t͈ː	0.000926
828	ɤ̞ː	0.000926
829	ʊ̃ː	0.000926
830	ɸʼ	0.000926
831	ʰkʷ	0.000926
832	çʲ	0.000926
833	ɺʲ	0.000926
834	bˀ	0.000926
835	dˀ	0.000926
836	kˤ	0.000926
837	ɪ̈ː	0.000926
838	ʊ̈	0.000926
839	sʼː	0.000926
840	ʁː	0.000926
841	ħʷ	0.000926
842	l̪ː	0.000926
843	ɾˤ	0.000926
844	lˤː	0.000926
845	ʃ͉	0.000926
846	s͉	0.000926
847	uɔ	0.000926
848	b̤ʲ	0.000926
849	o̯	0.000926
850	l̥ˠ	0.000926
851	bʷˠ	0.000926
852	ɾˠ	0.000926
853	nˠ	0.000926
854	n̥ʲ	0.000926
855	n̥ˠ	0.000926
856	ɸʷˠ	0.000926
857	pʷˠʰ	0.000926
858	l̥ʲ	0.000926
859	ə̯	0.000926
860	ɾ̥ʲ	0.000926
861	ɾ̥ˠ	0.000926
862	ʃˠ	0.000926
863	ʒˠ	0.000926
864	ʒʲ	0.000926
865	ʈʰː	0.000926
866	pʰː	0.000926
867	n̪ː	0.000926
868	t̪ʰː	0.000926
869	ɟʝː	0.000926
870	cçː	0.000926
871	ĕ̞	0.000926
872	ɒ̆	0.000926
873	ŏ̞	0.000926
874	z͇	0.000926
875	ʊ̙	0.000926
876	ʊ̙ː	0.000926
877	ɪ̙	0.000926
878	ɔˤ	0.000926
879	ɪˤ	0.000926
880	ʊˤ	0.000926
881	ɹ̪	0.000926
882	ʃʷː	0.000926
883	ʁʷˤ	0.000926
884	qχʼː	0.000926
885	t̪s̪ʼː	0.000926
886	χʷˤ	0.000926
887	χʷː	0.000926
888	χˤ	0.000926
889	ʁˤ	0.000926
890	ɤ̟	0.000926
891	ɯ͓	0.000926
892	ɞ	0.000926
893	ʌ̤	0.000926
894	ɒ̤	0.000926
895	ɘ̃	0.000926
896	z͇̪	0.000926
897	n̠̥	0.000926
898	ỹ	0.000926
899	ɬ̪ʲ	0.000926
900	n̪t̪ʰ	0.000926
901	n̪t̪s̪	0.000926
902	ɳʈʂ	0.000926
903	ŋ̥ʷ	0.000926
904	nr	0.000926
905	aɨ	0.000926
906	kǃ̠ʰ	0.000926
907	ŋ̥ǁ͓ˀ	0.000926
908	ŋ̥ǃ̠ˀ	0.000926
909	kǁ͓ʰ	0.000926
910	ɭ̥	0.000926
911	ɡbʷ	0.000926
912	ɔ̃ĩ	0.000926
913	ŋkʲ	0.000926
914	t̪ɦ	0.000926
915	pɦ	0.000926
916	kɦ	0.000926
917	ɣʲ	0.000926
918	ʊi	0.000926
919	e̠	0.000926
920	õ̞ĩ	0.000926
921	ũĩ	0.000926
922	ɨa	0.000926
923	ɜː	0.000926
924	ɟʑ	0.000926
925	aˤː	0.000926
926	ɡʼ	0.000926
927	ãˤ	0.000926
928	ɡǀ͓	0.000926
929	dʼ	0.000926
930	tˠ	0.000926
931	dˠ	0.000926
